Date,State,TotalSamples,Negative,Positive
2020-04-04,Odisha,1395,1375.0,20
2020-04-04,Punjab,1824,1520.0,65
2020-04-04,Tamil Nadu,4248,3356.0,485
2020-04-05,Delhi,6567,5398.0,502
2020-04-05,Gujarat,2568,2418.0,128
2020-04-05,Jammu and Kashmir,1551,1429.0,106
2020-04-05,Karnataka,5543,5037.0,151
2020-04-05,Kerala,10221,9300.0,314
2020-04-05,Madhya Pradesh,2812,1954.0,193
2020-04-05,Maharashtra,16008,14837.0,748
2020-04-05,Odisha,1699,1676.0,23
2020-04-05,Punjab,2208,1711.0,68
2020-04-05,Rajasthan,12279,11439.0,260
2020-04-05,Tamil Nadu,4612,3702.0,571
2020-04-06,Delhi,8464,6711.0,525
2020-04-06,Gujarat,2879,2701.0,146
2020-04-06,Jammu and Kashmir,1708,1583.0,109
2020-04-06,Karnataka,5958,5503.0,163
2020-04-06,Kerala,10716,9607.0,327
2020-04-06,Madhya Pradesh,3323,2530.0,256
2020-04-06,Maharashtra,17563,15808.0,868
2020-04-06,Odisha,1888,1849.0,39
2020-04-06,Punjab,2384,1994.0,79
2020-04-06,Tamil Nadu,5015,4099.0,621
2020-04-07,Delhi,9041,7308.0,576
2020-04-07,Gujarat,3552,3257.0,175
2020-04-07,Jammu and Kashmir,1900,1763.0,125
2020-04-07,Karnataka,6580,5942.0,175
2020-04-07,Kerala,11232,10250.0,336
2020-04-07,Madhya Pradesh,3770,3125.0,290
2020-04-07,Maharashtra,20877,19290.0,1018
2020-04-07,Odisha,2210,2168.0,42
2020-04-07,Punjab,2559,2204.0,99
2020-04-07,Tamil Nadu,5305,4414.0,690
2020-04-08,Chandigarh,184,162.0,18
2020-04-08,Delhi,9332,7897.0,588
2020-04-08,Gujarat,4224,3905.0,186
2020-04-08,Jammu and Kashmir,2269,2116.0,139
2020-04-08,Karnataka,6967,6473.0,181
2020-04-08,Kerala,11986,10906.0,345
2020-04-08,Madhya Pradesh,4056,3442.0,341
2020-04-08,Maharashtra,27090,25753.0,1135
2020-04-08,Odisha,2441,2399.0,42
2020-04-08,Punjab,2937,2614.0,106
2020-04-08,Rajasthan,17638,16401.0,363
2020-04-08,Tamil Nadu,6095,4893.0,738
2020-04-09,Andhra Pradesh,5960,5597.0,363
2020-04-09,Chandigarh,199,169.0,18
2020-04-09,Delhi,9968,8643.0,720
2020-04-09,Gujarat,6199,5579.0,262
2020-04-09,Jammu and Kashmir,2649,2465.0,184
2020-04-09,Karnataka,7613,7176.0,197
2020-04-09,Kerala,12710,11469.0,357
2020-04-09,Madhya Pradesh,5135,3989.0,411
2020-04-09,Odisha,2841,2797.0,44
2020-04-09,Punjab,3192,2777.0,130
2020-04-09,Rajasthan,19107,17851.0,430
2020-04-09,Tamil Nadu,7267,5948.0,834
2020-04-10,Andhra Pradesh,6374,5993.0,381
2020-04-10,Chandigarh,223,199.0,19
2020-04-10,Delhi,11061,9662.0,903
2020-04-10,Gujarat,7718,7237.0,378
2020-04-10,Jammu and Kashmir,2961,2754.0,207
2020-04-10,Karnataka,7975,7673.0,207
2020-04-10,Kerala,13339,12335.0,364
2020-04-10,Madhya Pradesh,7049,4840.0,451
2020-04-10,Maharashtra,30000,28865.0,1135
2020-04-10,Odisha,3249,3201.0,48
2020-04-10,Punjab,3461,2972.0,151
2020-04-10,Rajasthan,22324,20673.0,520
2020-04-10,Tamil Nadu,8410,6838.0,911
2020-04-11,Maharashtra,31841,30477.0,1364
